0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 
180 10 10 10 10 10 6 6 6 38 5 5 5 1 1 1 1 1 1 6 6 6 6 6 6 19 19 22 22 1 1 1 1 1 1 24 24 24 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 34 34 34 34 34 34 34 34 14 14 1 1 1 4 4 5 5 5 5 5 2 2 2 2 2 1 1 1 1 1 1 1 1 1 26 26 10 10 34 34 34 34 5 5 5 20 20 20 3 3 3 3 3 1 1 1 1 1 2 2 2 2 7 3 3 16 16 16 4 4 4 4 3 1 1 1 1 1 1 1 1 1 1 1 1 1 8 19 19 3 3 27 27 27 6 6 20 20 12 12 12 12 24 6 6 6 6 9 9 9 9 5 12 12 12 1 1 1 39 39 39 18 18 18 13 13 22 22 22 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
179 10 10 10 10 10 6 6 38 38 38 5 9 9 1 1 1 1 1 6 6 6 6 6 6 19 19 19 19 1 1 1 1 1 1 38 38 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 34 34 34 34 34 34 34 34 14 14 14 4 4 4 4 4 5 5 5 5 5 2 2 2 2 2 1 1 1 1 1 1 1 8 8 26 26 28 28 34 34 34 4 4 4 20 20 20 3 3 3 3 3 3 3 1 1 1 1 2 2 2 4 4 3 3 3 6 6 6 6 4 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 19 19 19 3 3 3 3 6 6 6 6 6 12 12 12 12 14 14 6 6 6 9 9 9 5 5 5 12 12 36 36 36 36 39 39 17 17 17 17 17 22 22 22 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
178 10 11 11 11 11 19 19 38 38 38 9 9 9 9 1 1 1 1 32 6 6 6 6 6 19 19 19 19 1 1 1 6 6 6 38 38 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 34 34 34 34 34 34 34 14 14 14 14 4 4 4 4 4 5 5 5 5 1 1 2 2 2 2 10 1 1 6 6 6 8 8 8 8 12 28 28 6 6 6 4 4 4 20 20 3 3 3 3 3 3 3 3 1 1 1 1 2 2 4 4 4 4 3 24 6 6 6 6 6 3 3 3 3 2 2 2 1 1 1 1 1 1 1 1 19 19 19 3 3 3 3 6 6 6 6 6 6 12 12 14 14 14 14 4 4 2 2 2 2 5 8 8 8 36 36 36 5 5 5 17 17 17 17 17 22 22 22 22 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
177 11 11 11 11 11 19 19 19 38 9 9 9 9 9 9 1 1 32 32 32 6 6 6 6 19 19 19 19 2 2 6 6 6 6 38 38 15 15 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6 6 6 34 34 10 10 14 14 14 14 4 4 4 4 4 4 5 5 1 1 1 1 2 2 10 10 10 6 6 6 6 8 8 8 12 12 12 28 6 6 14 14 4 4 20 20 3 3 3 3 3 3 3 3 3 1 1 12 12 12 4 4 4 4 24 24 24 6 6 6 6 6 3 3 3 2 2 1 1 1 1 1 1 1 1 1 1 19 19 42 3 3 3 6 6 6 6 6 6 6 14 14 14 14 4 4 4 2 2 2 2 8 8 8 8 8 36 5 5 5 5 17 17 17 17 17 22 22 22 22 22 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
176 11 11 11 11 11 19 19 19 5 5 9 9 9 9 9 9 32 32 32 32 6 6 6 1 1 5 5 5 2 2 6 6 6 6 44 44 15 15 15 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6 6 6 6 10 10 10 10 14 14 14 4 4 4 4 4 4 4 1 1 1 1 1 1 10 10 10 10 6 6 6 6 6 8 12 12 12 12 9 9 14 14 14 1 1 20 20 3 3 3 3 3 3 3 3 3 3 12 12 12 12 12 4 4 4 24 24 24 18 6 6 6 6 6 3 2 2 2 1 1 1 1 1 1 1 1 1 1 1 42 42 42 3 3 6 6 6 6 6 6 5 5 14 14 4 4 4 4 2 2 2 2 8 8 8 8 8 5 5 5 5 5 5 17 17 17 2 2 22 22 22 22 22 29 29 2 2 2 2 2 2 2 2 2 2 2 2 
175 20 20 11 11 11 19 19 5 5 5 5 9 9 9 9 9 32 32 32 32 23 23 1 1 1 5 5 5 5 23 23 3 3 3 44 44 15 15 15 2 1 1 1 1 1 1 1 1 1 1 1 1 1 6 6 6 6 10 10 10 10 10 14 14 14 4 4 4 4 4 4 1 1 1 1 1 1 10 10 10 10 6 6 6 6 6 12 12 12 12 9 9 9 14 14 14 1 1 5 20 3 3 3 3 3 3 3 3 3 3 12 12 12 12 12 12 4 4 14 14 18 18 18 6 6 6 6 2 2 2 2 41 41 41 1 1 1 1 1 1 1 1 42 42 1 1 1 6 6 6 6 6 5 5 5 5 40 40 4 4 28 2 2 2 2 2 8 8 8 8 5 5 5 5 5 5 2 2 2 2 2 2 22 22 22 29 29 29 29 2 2 2 2 2 2 2 2 2 2 2 
174 20 20 20 1 1 5 5 5 5 5 5 5 9 9 9 4 4 32 32 2 23 23 23 1 4 5 5 5 23 23 23 3 3 3 3 44 40 40 2 2 2 2 1 1 3 3 1 1 1 1 1 1 1 1 6 6 6 10 10 10 10 10 14 14 14 4 4 4 4 4 4 1 1 1 9 9 9 10 10 10 10 6 6 6 6 12 12 12 12 12 9 9 9 9 14 14 5 5 5 5 3 3 3 3 3 3 3 3 1 1 12 12 12 12 12 12 12 14 14 14 18 18 18 18 6 6 2 2 2 2 41 41 41 41 41 1 1 1 1 1 1 8 8 8 1 1 1 1 6 6 6 5 5 5 5 5 40 40 40 28 28 28 2 2 2 14 14 14 14 10 10 10 5 5 5 2 2 2 2 2 2 2 2 9 9 29 29 29 29 3 3 2 2 50 50 2 2 2 2 2 
173 20 20 1 1 1 5 5 5 5 5 5 5 5 5 4 4 4 4 2 2 2 23 23 4 4 4 5 23 23 23 23 3 3 3 3 3 40 40 2 2 2 2 2 3 3 3 3 1 1 1 1 1 1 1 6 6 10 10 10 10 10 3 3 14 14 4 4 4 4 4 4 4 1 9 9 9 9 7 7 7 7 1 1 1 1 12 12 12 12 27 9 9 9 9 14 14 5 5 5 5 5 3 3 3 3 3 3 1 1 1 1 12 12 12 12 12 12 14 14 2 18 18 18 18 20 20 2 2 2 41 41 41 41 41 41 4 4 4 4 4 8 8 8 8 1 1 1 1 1 1 1 5 5 5 5 5 3 40 40 28 28 28 48 48 14 14 14 14 14 10 10 10 10 5 2 2 2 2 2 2 2 2 2 9 9 9 29 25 25 3 3 3 50 50 50 50 2 2 2 2 
172 6 6 6 1 1 5 5 1 1 5 5 5 5 5 4 4 4 4 2 2 2 2 2 4 4 8 8 23 23 23 10 10 10 3 3 3 3 36 36 2 2 2 3 3 3 3 3 3 1 1 1 1 3 3 3 3 10 10 10 10 3 3 3 3 3 4 4 4 4 4 4 4 4 9 9 9 7 7 7 7 1 1 1 1 1 1 12 12 27 27 27 9 9 9 14 14 14 5 5 5 5 3 3 3 3 3 3 1 1 1 1 1 12 12 12 12 12 2 2 2 2 18 18 26 20 20 1 1 1 41 41 41 41 41 41 4 4 4 4 4 8 8 8 10 1 1 1 1 1 1 1 1 5 5 5 3 3 3 5 5 28 19 48 48 14 14 14 14 14 10 10 10 10 2 2 2 2 2 2 2 2 2 2 9 9 9 25 25 25 25 3 3 50 50 50 16 16 2 2 2 
171 6 6 6 6 6 6 1 1 1 1 5 5 5 4 4 4 4 4 2 2 2 2 8 8 8 8 8 1 1 1 10 10 10 10 14 14 14 36 36 3 3 3 3 3 3 3 3 3 3 1 1 3 3 3 3 3 3 10 10 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 9 7 7 7 7 1 1 1 1 1 1 1 1 8 27 27 27 23 23 23 14 14 14 14 14 14 3 3 3 3 3 3 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 26 26 26 1 1 1 1 1 41 41 41 8 8 4 4 4 4 4 8 8 10 10 10 1 1 1 1 1 1 1 1 1 3 3 3 3 5 5 19 19 19 1 1 14 14 14 14 9 10 10 2 2 2 2 2 2 2 2 2 2 2 9 9 9 25 25 25 25 1 5 5 50 16 16 16 16 2 2 
